student_id,RegEventId,semester_credits,SGPA,CGPA_to_date
1068,9,26.00,5.88,5.88
1069,9,26.00,6.85,6.85
107,2,26.00,7.04,7.04
1070,9,26.00,6.27,6.27
1071,9,26.00,5.04,5.04
1072,9,26.00,7.50,7.50
1073,9,26.00,6.42,6.42
1074,9,26.00,5.35,5.35
1075,9,26.00,7.31,7.31
1076,9,26.00,3.65,3.65
1077,9,26.00,5.58,5.58
1078,9,26.00,8.31,8.31
1079,9,26.00,5.81,5.81
108,2,26.00,6.08,6.08
1080,9,26.00,6.65,6.65
1081,9,26.00,5.54,5.54
1082,9,26.00,6.42,6.42
1083,9,26.00,6.08,6.08
1084,9,26.00,6.12,6.12
1085,9,26.00,6.92,6.92
1086,9,26.00,7.00,7.00
1087,9,26.00,7.73,7.73
1088,9,26.00,7.92,7.92
1089,9,26.00,7.73,7.73
109,2,26.00,6.50,6.50
1090,11,26.00,7.08,7.08
1091,11,26.00,8.04,8.04
1092,11,26.00,5.15,5.15
1093,11,26.00,5.73,5.73
1094,11,26.00,6.62,6.62
1095,11,26.00,7.08,7.08
1096,11,26.00,5.85,5.85
1097,11,26.00,5.35,5.35
1098,11,26.00,5.77,5.77
1099,11,26.00,6.35,6.35
11,2,26.00,6.15,6.15
110,2,26.00,6.38,6.38
1100,11,26.00,7.42,7.42
1101,11,26.00,7.73,7.73
1102,11,26.00,7.31,7.31
1103,11,26.00,8.27,8.27
1104,11,26.00,7.46,7.46
1105,11,26.00,6.08,6.08
1106,11,26.00,5.88,5.88
1107,11,26.00,5.23,5.23
1108,11,26.00,5.23,5.23
1109,11,26.00,5.92,5.92
111,2,26.00,5.73,5.73
1110,11,26.00,8.12,8.12
1111,11,26.00,5.46,5.46
1112,11,26.00,8.15,8.15
1113,11,26.00,7.38,7.38
1114,11,26.00,6.54,6.54
1115,11,26.00,6.92,6.92
1116,11,26.00,6.54,6.54
1117,11,26.00,7.73,7.73
1118,11,26.00,7.65,7.65
1119,11,26.00,6.69,6.69
112,2,26.00,7.73,7.73
1120,11,26.00,7.96,7.96
1121,11,26.00,6.69,6.69
1122,11,26.00,4.54,4.54
1123,11,26.00,5.23,5.23
1124,11,26.00,4.69,4.69
1125,11,26.00,6.23,6.23
1126,11,26.00,9.50,9.50
1127,11,26.00,7.35,7.35
1128,11,26.00,5.69,5.69
1129,11,26.00,6.69,6.69
113,2,26.00,5.35,5.35
1130,11,26.00,7.15,7.15
1131,11,26.00,6.42,6.42
1132,11,26.00,6.31,6.31
1133,11,26.00,6.69,6.69
1134,11,26.00,6.96,6.96
11344,492,22.00,3.73,3.73
11345,492,22.00,5.86,5.86
11346,492,22.00,6.55,6.55
11347,492,22.00,6.59,6.59
11348,492,22.00,4.68,4.68
11349,492,22.00,3.36,3.36
1135,11,26.00,6.50,6.50
11350,492,22.00,6.32,6.32
11351,492,22.00,4.09,4.09
11352,492,22.00,4.95,4.95
11353,492,22.00,4.50,4.50
11354,492,22.00,3.55,3.55
11355,492,22.00,6.68,6.68
11356,492,22.00,4.64,4.64
11357,492,22.00,5.55,5.55
11358,492,22.00,5.05,5.05
11359,492,22.00,4.91,4.91
1136,11,26.00,5.23,5.23
11360,492,22.00,4.05,4.05
11361,492,22.00,6.36,6.36
11362,492,22.00,5.82,5.82
11363,492,22.00,6.86,6.86
11364,492,22.00,6.77,6.77
11365,492,22.00,4.23,4.23
11366,492,22.00,4.36,4.36
11367,492,22.00,3.59,3.59
11368,492,22.00,5.77,5.77
11369,492,22.00,5.00,5.00
1137,11,26.00,7.35,7.35
11370,492,22.00,4.27,4.27
11371,492,22.00,4.14,4.14
11372,492,22.00,4.82,4.82
11373,492,22.00,5.45,5.45
11374,492,22.00,4.55,4.55
11375,492,22.00,5.09,5.09
11376,492,22.00,4.55,4.55
11377,492,22.00,5.23,5.23
11378,492,22.00,4.73,4.73
11379,492,22.00,5.45,5.45
1138,11,26.00,6.04,6.04
11380,492,22.00,5.36,5.36
11381,492,22.00,4.91,4.91
11382,492,22.00,4.14,4.14
11383,492,22.00,5.45,5.45
11384,492,22.00,2.09,2.09
11385,492,22.00,5.95,5.95
11386,492,22.00,5.77,5.77
11387,492,22.00,5.73,5.73
11388,492,22.00,6.32,6.32
11389,492,22.00,6.18,6.18
1139,11,26.00,5.73,5.73
11390,492,22.00,4.59,4.59
11391,492,22.00,4.55,4.55
11392,492,22.00,2.59,2.59
11393,492,22.00,3.59,3.59
11394,492,22.00,3.59,3.59
11395,492,22.00,2.91,2.91
11396,492,22.00,2.23,2.23
11397,492,22.00,5.59,5.59
11398,492,22.00,3.00,3.00
11399,492,22.00,4.95,4.95
114,2,26.00,6.19,6.19
1140,11,26.00,6.42,6.42
11400,492,22.00,6.05,6.05
11401,492,22.00,5.36,5.36
11402,492,22.00,3.14,3.14
11403,492,22.00,6.32,6.32
11404,492,22.00,5.05,5.05
11405,492,22.00,4.27,4.27
11406,492,22.00,4.45,4.45
11407,492,22.00,4.27,4.27
11408,492,22.00,5.77,5.77
11409,492,22.00,4.14,4.14
1141,11,26.00,6.15,6.15
11410,492,22.00,3.86,3.86
11411,492,22.00,5.18,5.18
11412,492,22.00,5.64,5.64
11413,492,22.00,4.86,4.86
11414,492,22.00,5.64,5.64
11415,492,22.00,5.36,5.36
11416,492,22.00,6.18,6.18
11417,492,22.00,4.73,4.73
11418,492,22.00,5.55,5.55
11419,492,22.00,4.86,4.86
1142,11,26.00,5.35,5.35
11420,492,22.00,2.14,2.14
11421,492,22.00,4.73,4.73
11422,492,22.00,3.36,3.36
11423,492,22.00,4.95,4.95
11424,492,22.00,5.36,5.36
11425,492,22.00,4.64,4.64
11426,492,22.00,5.32,5.32
11427,492,22.00,5.00,5.00
11428,492,22.00,6.09,6.09
11429,492,22.00,5.82,5.82
1143,11,26.00,6.50,6.50
11430,492,22.00,5.50,5.50
11431,492,22.00,4.77,4.77
11432,492,22.00,4.45,4.45
11433,492,22.00,4.82,4.82
11434,493,23.00,5.70,5.70
11435,493,23.00,5.26,5.26
11436,493,23.00,4.57,4.57
11437,493,23.00,6.61,6.61
11438,493,23.00,4.04,4.04
11439,493,23.00,4.83,4.83
1144,11,26.00,5.12,5.12
11440,493,23.00,4.57,4.57
11441,493,23.00,5.26,5.26
11442,493,23.00,6.00,6.00
11443,493,23.00,6.61,6.61
11444,493,23.00,6.52,6.52
11445,493,23.00,3.83,3.83
11446,493,23.00,2.78,2.78
11447,493,23.00,7.87,7.87
11448,493,23.00,4.70,4.70
11449,493,23.00,5.87,5.87
1145,11,26.00,5.81,5.81
11450,493,23.00,4.57,4.57
11451,493,23.00,7.26,7.26
11452,493,23.00,5.30,5.30
11453,493,23.00,6.87,6.87
11454,493,23.00,3.17,3.17
11455,493,23.00,4.74,4.74
11456,493,23.00,6.04,6.04
11457,493,23.00,6.91,6.91
11458,493,23.00,5.65,5.65
11459,493,23.00,6.22,6.22
1146,11,26.00,7.31,7.31
11460,493,23.00,7.61,7.61
11461,493,23.00,4.74,4.74
11462,493,23.00,4.91,4.91
11463,493,23.00,5.22,5.22
11464,493,23.00,5.35,5.35
11465,493,23.00,4.39,4.39
11466,493,23.00,4.43,4.43
11467,493,23.00,5.91,5.91
11468,493,23.00,5.17,5.17
11469,493,23.00,6.57,6.57
1147,11,26.00,4.62,4.62
11470,493,23.00,6.00,6.00
11471,493,23.00,5.65,5.65
11472,493,23.00,4.65,4.65
11473,493,23.00,7.09,7.09
11474,493,23.00,2.91,2.91
11475,493,23.00,5.91,5.91
11476,493,23.00,5.35,5.35
11477,493,23.00,6.87,6.87
11478,493,23.00,5.17,5.17
11479,493,23.00,5.48,5.48
1148,11,26.00,3.77,3.77
11480,493,23.00,3.22,3.22
11481,493,23.00,6.43,6.43
11482,493,23.00,5.35,5.35
11483,493,23.00,6.87,6.87
11484,493,23.00,3.74,3.74
11486,493,23.00,4.96,4.96
11487,493,23.00,4.70,4.70
11488,493,23.00,5.39,5.39
11489,493,23.00,5.65,5.65
1149,11,26.00,7.65,7.65
11490,493,23.00,7.39,7.39
11491,493,23.00,5.96,5.96
11492,493,23.00,5.87,5.87
11493,493,23.00,3.83,3.83
11494,493,23.00,5.22,5.22
11495,493,23.00,5.09,5.09
11496,493,23.00,6.26,6.26
11497,493,23.00,6.83,6.83
11498,493,23.00,5.57,5.57
11499,493,23.00,5.22,5.22
115,2,26.00,7.15,7.15
1150,11,26.00,5.54,5.54
11500,493,23.00,6.04,6.04
11501,493,23.00,6.70,6.70
11502,493,23.00,6.26,6.26
11503,493,23.00,4.04,4.04
11504,493,23.00,5.35,5.35
11505,493,23.00,4.00,4.00
11506,493,23.00,4.87,4.87
11507,493,23.00,5.78,5.78
11508,493,23.00,5.87,5.87
11509,493,23.00,4.22,4.22
1151,11,26.00,5.77,5.77
11510,493,23.00,6.61,6.61
11511,493,23.00,6.13,6.13
11512,493,23.00,4.83,4.83
11513,493,23.00,3.74,3.74
11514,493,23.00,6.35,6.35
11515,493,23.00,4.26,4.26
11516,493,23.00,5.96,5.96
11517,493,23.00,5.87,5.87
11518,493,23.00,4.39,4.39
11519,493,23.00,2.48,2.48
1152,11,26.00,7.73,7.73
11520,493,23.00,4.30,4.30
11521,493,23.00,4.13,4.13
1153,11,26.00,5.38,5.38
1154,11,26.00,7.12,7.12
1155,11,26.00,4.92,4.92
1156,11,26.00,7.12,7.12
1157,11,26.00,5.69,5.69
1158,11,26.00,7.69,7.69
1159,11,26.00,6.54,6.54
116,2,26.00,6.65,6.65
1160,11,26.00,7.38,7.38
1161,11,26.00,7.54,7.54
1162,11,26.00,8.27,8.27
1163,11,26.00,4.38,4.38
1164,11,26.00,5.31,5.31
1165,11,26.00,7.73,7.73
1166,11,26.00,7.08,7.08
1167,11,26.00,7.81,7.81
1168,11,26.00,5.27,5.27
1169,11,26.00,8.19,8.19
117,2,26.00,7.31,7.31
1170,11,26.00,6.73,6.73
1171,11,26.00,7.12,7.12
1172,11,26.00,6.81,6.81
1173,11,26.00,7.92,7.92
1174,11,26.00,6.46,6.46
1175,11,26.00,7.54,7.54
1176,11,26.00,5.88,5.88
1177,11,26.00,6.19,6.19
1178,11,26.00,5.88,5.88
1179,11,26.00,7.19,7.19
118,2,26.00,7.81,7.81
1180,11,26.00,5.38,5.38
11804,500,22.00,4.14,4.14
11805,500,22.00,2.91,2.91
11806,500,22.00,4.68,4.68
11807,500,22.00,3.64,3.64
11808,500,22.00,6.00,6.00
11809,500,22.00,5.55,5.55
1181,11,26.00,6.88,6.88
11810,500,22.00,4.91,4.91
11811,500,22.00,3.36,3.36
11812,500,22.00,6.14,6.14
11813,500,22.00,5.09,5.09
11814,500,22.00,5.23,5.23
11815,500,22.00,5.36,5.36
11816,500,22.00,4.91,4.91
11817,500,22.00,5.00,5.00
11818,500,22.00,4.77,4.77
11819,500,22.00,4.41,4.41
1182,11,26.00,6.08,6.08
11820,500,22.00,5.91,5.91
11821,500,22.00,6.09,6.09
11822,500,22.00,1.82,1.82
11823,500,22.00,5.95,5.95
11824,500,22.00,3.95,3.95
11825,500,22.00,5.36,5.36
11826,500,22.00,6.36,6.36
11827,500,22.00,3.68,3.68
11828,500,22.00,5.73,5.73
11829,500,22.00,6.27,6.27
1183,11,26.00,8.62,8.62
11830,500,22.00,4.27,4.27
11831,500,22.00,5.95,5.95
11832,500,22.00,5.05,5.05
11833,500,22.00,5.50,5.50
11834,500,22.00,4.18,4.18
11835,500,22.00,4.36,4.36
11836,500,22.00,4.09,4.09
11837,500,22.00,6.27,6.27
11838,500,22.00,5.32,5.32
11839,500,22.00,3.32,3.32
1184,11,26.00,5.12,5.12
11840,500,22.00,4.09,4.09
11841,500,22.00,5.27,5.27
11842,500,22.00,6.68,6.68
11843,500,22.00,2.41,2.41
11844,500,22.00,5.68,5.68
11845,500,22.00,3.73,3.73
11846,500,22.00,3.55,3.55
11847,500,22.00,4.55,4.55
11848,500,22.00,6.41,6.41
11849,500,22.00,4.14,4.14
1185,11,26.00,4.69,4.69
11850,500,22.00,6.41,6.41
11851,500,22.00,5.09,5.09
11852,500,22.00,4.14,4.14
11853,500,22.00,6.05,6.05
11854,500,22.00,4.27,4.27
11855,500,22.00,5.50,5.50
11856,500,22.00,5.77,5.77
11857,500,22.00,2.09,2.09
11858,500,22.00,6.05,6.05
11859,500,22.00,4.32,4.32
1186,11,26.00,7.00,7.00
11860,500,22.00,7.32,7.32
11861,500,22.00,5.82,5.82
11862,500,22.00,1.73,1.73
11863,500,22.00,6.00,6.00
11864,500,22.00,7.73,7.73
11865,500,22.00,2.73,2.73
11866,500,22.00,7.50,7.50
11867,500,22.00,3.59,3.59
11868,500,22.00,5.27,5.27
11869,500,22.00,5.64,5.64
1187,11,26.00,7.85,7.85
11870,500,22.00,7.00,7.00
11871,500,22.00,4.36,4.36
11872,500,22.00,4.55,4.55
11873,500,22.00,4.95,4.95
11874,500,22.00,6.45,6.45
11875,500,22.00,6.41,6.41
11876,500,22.00,2.95,2.95
11877,500,22.00,6.14,6.14
11878,500,22.00,4.36,4.36
11879,500,22.00,4.00,4.00
1188,11,26.00,6.54,6.54
11880,500,22.00,4.86,4.86
11881,500,22.00,5.23,5.23
11882,500,22.00,4.23,4.23
11883,500,22.00,5.50,5.50
11884,500,22.00,3.59,3.59
11885,500,22.00,4.59,4.59
11886,500,22.00,3.55,3.55
11887,500,22.00,5.05,5.05
11888,500,22.00,4.14,4.14
11889,500,22.00,3.41,3.41
1189,11,26.00,5.00,5.00
11890,500,22.00,3.55,3.55
11891,500,22.00,2.82,2.82
11892,500,22.00,5.18,5.18
11893,500,22.00,5.68,5.68
11894,501,14.00,2.86,2.86
11895,501,14.00,3.86,3.86
11896,501,14.00,3.86,3.86
11897,501,14.00,5.57,5.57
11898,501,14.00,5.14,5.14
11899,501,14.00,4.79,4.79
119,2,26.00,7.73,7.73
1190,11,26.00,7.31,7.31
11900,501,14.00,7.21,7.21
11901,501,14.00,5.57,5.57
11902,501,14.00,2.36,2.36
11903,501,14.00,2.14,2.14
11904,501,14.00,8.00,8.00
11905,501,14.00,6.86,6.86
11906,501,14.00,5.64,5.64
11907,501,14.00,6.21,6.21
11908,501,14.00,6.64,6.64
11909,501,14.00,4.71,4.71
1191,11,26.00,7.69,7.69
11910,501,14.00,5.14,5.14
11911,501,14.00,7.79,7.79
11912,501,14.00,3.64,3.64
11913,501,14.00,6.07,6.07
11914,501,14.00,6.50,6.50
11915,501,14.00,5.29,5.29
11916,501,14.00,4.29,4.29
11917,501,14.00,4.71,4.71
11918,501,14.00,5.36,5.36
11919,501,14.00,7.43,7.43
1192,11,26.00,6.42,6.42
11920,501,14.00,7.57,7.57
11921,501,14.00,4.36,4.36
11922,501,14.00,3.71,3.71
11923,501,14.00,5.79,5.79
11924,501,14.00,5.64,5.64
11925,501,14.00,7.29,7.29
11926,501,14.00,4.71,4.71
11927,501,14.00,6.21,6.21
11928,501,14.00,6.57,6.57
11929,501,14.00,5.79,5.79
1193,11,26.00,4.38,4.38
11930,501,14.00,4.93,4.93
11931,501,14.00,4.07,4.07
11932,501,14.00,4.00,4.00
11933,501,14.00,6.93,6.93
11934,501,14.00,3.07,3.07
11935,501,14.00,6.07,6.07
11936,501,14.00,3.71,3.71
11937,501,14.00,5.93,5.93
11938,501,14.00,5.86,5.86
11939,501,14.00,4.50,4.50
1194,11,26.00,5.54,5.54
11940,501,14.00,4.36,4.36
11941,501,14.00,5.57,5.57
11942,501,14.00,6.64,6.64
11943,501,14.00,5.79,5.79
11944,501,14.00,3.64,3.64
11946,501,14.00,5.14,5.14
11947,501,14.00,5.29,5.29
11948,501,14.00,7.14,7.14
11949,501,14.00,3.79,3.79
1195,11,26.00,5.62,5.62
11950,501,14.00,5.57,5.57
11951,501,14.00,6.07,6.07
11952,501,14.00,5.29,5.29
11953,501,14.00,6.86,6.86
11954,501,14.00,4.57,4.57
11955,501,14.00,4.64,4.64
11956,501,14.00,3.71,3.71
11957,501,14.00,4.93,4.93
11958,501,14.00,5.43,5.43
11959,501,14.00,3.93,3.93
1196,11,26.00,9.15,9.15
11960,501,14.00,4.07,4.07
11961,501,14.00,4.36,4.36
11962,501,14.00,6.93,6.93
11963,501,14.00,4.50,4.50
11964,501,14.00,4.50,4.50
11965,501,14.00,8.00,8.00
11966,501,14.00,6.29,6.29
11967,501,14.00,5.36,5.36
11968,501,14.00,4.29,4.29
11969,501,14.00,1.93,1.93
1197,11,26.00,8.50,8.50
11970,501,14.00,4.64,4.64
11971,501,14.00,5.86,5.86
11972,501,14.00,4.71,4.71
11973,501,14.00,7.43,7.43
11974,501,14.00,5.50,5.50
11975,501,14.00,4.79,4.79
11976,501,14.00,6.00,6.00
11977,501,14.00,5.43,5.43
11978,501,14.00,4.86,4.86
11979,501,14.00,5.00,5.00
1198,11,26.00,7.85,7.85
11980,501,14.00,5.64,5.64
11981,501,14.00,4.29,4.29
1199,11,26.00,8.19,8.19
12,2,26.00,7.35,7.35
120,2,26.00,5.35,5.35
1200,11,26.00,7.46,7.46
1201,11,26.00,7.62,7.62
1202,11,26.00,6.42,6.42
1203,11,26.00,8.04,8.04
1204,11,26.00,7.77,7.77
1205,11,26.00,6.88,6.88
1206,11,26.00,6.31,6.31
1207,11,26.00,5.69,5.69
1208,11,26.00,7.77,7.77
1209,11,26.00,5.19,5.19
121,2,26.00,6.69,6.69
1210,11,26.00,6.88,6.88
1211,11,26.00,7.15,7.15
1212,11,26.00,7.77,7.77
1213,11,26.00,5.77,5.77
1214,11,26.00,6.50,6.50
1215,11,26.00,6.35,6.35
1216,11,26.00,5.69,5.69
1217,11,26.00,7.77,7.77
1218,11,26.00,6.31,6.31
1219,11,26.00,9.12,9.12
122,2,26.00,5.00,5.00
1220,11,26.00,5.73,5.73
1221,11,26.00,4.92,4.92
1222,11,26.00,5.31,5.31
1223,11,26.00,7.00,7.00
1224,11,26.00,8.58,8.58
1225,11,26.00,7.85,7.85
1226,11,26.00,7.58,7.58
1227,11,26.00,7.12,7.12
1228,11,26.00,6.85,6.85
1229,11,26.00,6.50,6.50
123,2,26.00,6.19,6.19
1230,11,26.00,8.12,8.12
1231,11,26.00,6.12,6.12
1232,11,26.00,6.65,6.65
1233,11,26.00,6.85,6.85
1234,11,26.00,6.54,6.54
12346,581,25.00,8.48,8.48
12347,581,25.00,6.84,6.84
12348,581,25.00,5.56,5.56
12349,581,25.00,5.96,5.96
1235,11,26.00,5.31,5.31
12350,581,25.00,6.24,6.24
12351,581,25.00,6.40,6.40
12352,581,25.00,6.76,6.76
12353,581,25.00,6.04,6.04
12354,581,25.00,7.76,7.76
12355,581,25.00,7.04,7.04
12356,581,25.00,8.12,8.12
12357,581,25.00,6.16,6.16
12358,581,25.00,7.24,7.24
12359,581,25.00,5.52,5.52
1236,11,26.00,5.46,5.46
12360,581,25.00,6.64,6.64
12361,581,25.00,9.24,9.24
12362,581,25.00,7.64,7.64
12363,581,25.00,8.00,8.00
12364,581,25.00,5.96,5.96
12365,581,25.00,4.60,4.60
12366,581,25.00,7.68,7.68
12367,581,25.00,5.52,5.52
12368,581,25.00,8.88,8.88
12369,581,25.00,7.68,7.68
1237,11,26.00,6.69,6.69
12370,581,25.00,6.52,6.52
12371,581,25.00,5.96,5.96
12372,581,25.00,6.60,6.60
12373,581,25.00,7.44,7.44
12374,581,25.00,7.76,7.76
12375,581,25.00,6.32,6.32
12376,581,25.00,7.12,7.12
12377,581,25.00,7.48,7.48
12378,581,25.00,6.60,6.60
12379,581,25.00,7.36,7.36
1238,11,26.00,7.81,7.81
12380,581,25.00,8.64,8.64
12381,581,25.00,6.76,6.76
12382,581,25.00,8.40,8.40
12383,581,25.00,7.48,7.48
12384,581,25.00,4.16,4.16
12385,581,25.00,5.92,5.92
12386,581,25.00,6.88,6.88
12387,581,25.00,7.96,7.96
12388,581,25.00,8.08,8.08
12389,581,25.00,5.96,5.96
1239,11,26.00,9.12,9.12
12390,581,25.00,7.20,7.20
12391,581,25.00,6.12,6.12
12392,581,25.00,7.72,7.72
12393,581,25.00,7.20,7.20
12394,581,25.00,6.20,6.20
12395,581,25.00,7.52,7.52
12396,581,25.00,5.48,5.48
12397,581,25.00,6.56,6.56
12398,581,25.00,7.68,7.68
12399,581,25.00,7.48,7.48
124,2,26.00,8.46,8.46
1240,11,26.00,7.42,7.42
12400,581,25.00,6.88,6.88
12401,581,25.00,6.72,6.72
12402,581,25.00,5.60,5.60
12403,581,25.00,6.76,6.76
12404,581,25.00,4.64,4.64
12405,581,25.00,4.64,4.64
12406,581,25.00,6.64,6.64
12407,581,25.00,6.56,6.56
12408,581,25.00,5.84,5.84
12409,581,25.00,7.12,7.12
1241,11,26.00,4.46,4.46
12410,581,25.00,6.52,6.52
12411,581,22.00,5.50,5.50
12412,581,25.00,5.28,5.28
12413,581,25.00,4.40,4.40
12414,581,25.00,5.80,5.80
12415,581,25.00,8.48,8.48
12416,581,25.00,7.48,7.48
12417,581,25.00,7.48,7.48
12418,581,25.00,7.80,7.80
12419,581,25.00,5.16,5.16
1242,11,26.00,6.85,6.85
12420,582,24.00,9.04,9.04
12421,582,24.00,6.63,6.63
12422,582,24.00,6.21,6.21
12423,582,24.00,6.71,6.71
12424,582,24.00,4.92,4.92
12425,582,24.00,8.04,8.04
12426,582,24.00,8.25,8.25
12427,582,24.00,5.92,5.92
12428,582,24.00,5.42,5.42
12429,582,24.00,7.13,7.13
1243,11,26.00,9.19,9.19
12430,582,24.00,7.00,7.00
12431,582,24.00,7.63,7.63
12432,582,24.00,5.79,5.79
12433,582,24.00,5.25,5.25
12434,582,24.00,6.58,6.58
12435,582,24.00,5.96,5.96
12436,582,24.00,7.96,7.96
12437,582,24.00,6.79,6.79
12438,582,24.00,5.71,5.71
12439,582,24.00,4.88,4.88
1244,11,26.00,7.35,7.35
12440,582,24.00,3.58,3.58
12441,582,24.00,7.71,7.71
12442,582,24.00,6.92,6.92
12443,582,24.00,6.54,6.54
12444,582,24.00,7.71,7.71
12445,582,24.00,7.00,7.00
12446,582,24.00,7.00,7.00
12447,582,24.00,8.38,8.38
12448,582,24.00,4.83,4.83
12449,582,24.00,6.33,6.33
1245,11,26.00,5.85,5.85
12450,582,24.00,6.67,6.67
12451,582,24.00,5.92,5.92
12452,582,24.00,7.50,7.50
12453,582,24.00,6.08,6.08
12454,582,24.00,5.75,5.75
12455,582,24.00,7.17,7.17
12456,582,24.00,8.08,8.08
12457,582,24.00,6.29,6.29
12458,582,24.00,5.63,5.63
12459,582,24.00,6.21,6.21
1246,11,26.00,4.73,4.73
12460,582,24.00,7.38,7.38
12461,582,24.00,6.04,6.04
12462,582,24.00,7.54,7.54
12463,582,24.00,7.46,7.46
12464,582,24.00,7.04,7.04
12465,582,24.00,7.17,7.17
12466,582,24.00,7.00,7.00
12467,582,24.00,7.67,7.67
12468,582,24.00,7.88,7.88
12469,582,24.00,8.42,8.42
1247,11,26.00,6.73,6.73
12470,582,24.00,6.71,6.71
12471,582,24.00,6.75,6.75
12472,582,24.00,4.63,4.63
12473,582,24.00,6.63,6.63
12474,582,24.00,7.21,7.21
12475,582,24.00,5.63,5.63
12476,582,24.00,4.88,4.88
12477,582,24.00,3.25,3.25
12478,582,24.00,7.88,7.88
12479,582,24.00,8.00,8.00
1248,11,26.00,7.50,7.50
12480,582,24.00,5.08,5.08
12481,582,24.00,4.29,4.29
12482,582,24.00,7.25,7.25
12483,582,24.00,4.75,4.75
12484,582,24.00,5.88,5.88
12485,582,22.00,5.95,5.95
12486,582,24.00,7.88,7.88
12487,582,24.00,4.67,4.67
12488,582,24.00,8.67,8.67
12489,582,24.00,6.21,6.21
1249,11,26.00,5.27,5.27
12490,582,24.00,7.83,7.83
12491,582,24.00,7.00,7.00
12492,582,24.00,6.92,6.92
12493,582,24.00,7.21,7.21
12494,582,24.00,4.79,4.79
12495,582,24.00,7.08,7.08
12496,582,24.00,7.25,7.25
12497,582,24.00,7.75,7.75
12498,582,24.00,5.29,5.29
12499,582,24.00,6.63,6.63
125,2,26.00,8.69,8.69
1250,11,26.00,7.42,7.42
12500,582,24.00,7.46,7.46
12501,582,24.00,5.83,5.83
12502,582,24.00,7.00,7.00
12503,582,24.00,5.21,5.21
12504,582,24.00,7.92,7.92
12505,582,24.00,8.42,8.42
12506,582,24.00,6.96,6.96
1251,11,26.00,5.08,5.08
1252,11,26.00,5.92,5.92
1253,11,26.00,8.50,8.50
1254,11,26.00,7.73,7.73
1255,11,26.00,6.00,6.00
1256,10,26.00,8.12,8.12
1257,10,26.00,8.46,8.46
1258,10,26.00,6.35,6.35
1259,10,26.00,6.00,6.00
126,2,26.00,6.31,6.31
1260,10,26.00,6.77,6.77
1261,10,26.00,7.96,7.96
1262,10,26.00,7.12,7.12
1263,10,26.00,5.73,5.73
1264,10,26.00,5.96,5.96
1265,10,26.00,6.23,6.23
1266,10,26.00,6.58,6.58
1267,10,26.00,3.92,3.92
1268,10,26.00,5.77,5.77
1269,10,26.00,5.85,5.85
127,2,26.00,6.69,6.69
1270,10,26.00,7.85,7.85
1271,10,26.00,8.23,8.23
1272,10,26.00,6.15,6.15
1273,10,26.00,7.00,7.00
