"id","AYear","ASem","BYear","BSem","Dept","Regulation","Mode","SubId","SubCode","SubName","Credits","OfferedBy","Type","Category","DistributionRatio","Distribution","DistributionNames","PromoteThreshold","RegEventId"
"14",2015,2,1,2,9,"1","R","21","CS102","Problem Solving and Computer Programming Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","3"
"15",2015,2,1,2,9,"1","R","22","EA151","EAA: Games and Sports - II",0,12,"OTHER","MDC","1","100","End","30","3"
"16",2015,2,1,2,9,"1","R","23","EC101","Basic Electronics Engineering",3,6,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","3"
"17",2015,2,1,2,9,"1","R","24","HS101","English for Communication",4,12,"THEORY","HSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","3"
"18",2015,2,1,2,9,"1","R","26","PH101","Physics",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","3"
"19",2015,2,1,2,9,"1","R","27","PH102","Physics Lab",2,11,"LAB","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+12","3"
"20",2015,2,1,2,10,"1","R","28","CE101","Engineering Mechanics",4,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","4"
"21",2015,2,1,2,10,"1","R","30","CY102","Chemistry Lab",2,11,"LAB","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","4"
"22",2015,2,1,2,10,"1","R","32","EE101","Basic Electrical Engineering",3,5,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","4"
"23",2015,2,1,2,10,"1","R","33","MA151","Mathematics - II",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","4"
"24",2015,2,1,2,10,"1","R","34","ME101","Basic Mechanical Engineering",3,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","4"
"25",2015,2,1,2,10,"1","R","35","ME102","Engineering Graphics",4,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","4"
"26",2016,1,1,1,9,"1","R","37","CE101","Engineering Mechanics",4,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","9"
"27",2016,1,1,1,9,"1","R","38","CY101","Chemistry",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","9"
"28",2016,1,1,1,9,"1","R","39","CY102","Chemistry Lab",2,11,"LAB","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","9"
"29",2016,1,1,1,9,"1","R","40","EA101","EAA: Games and Sports - I",0,12,"OTHER","MDC","1","100","End","30","9"
"30",2016,1,1,1,9,"1","R","43","ME101","Basic Mechanical Engineering",3,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","9"
"31",2016,1,1,1,9,"1","R","44","ME102","Engineering Graphics",4,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","9"
"32",2016,1,1,1,9,"1","R","45","ME103","Workshop Practice",2,7,"THEORY","ESC","1","100","End","30","9"
"33",2016,2,1,2,9,"1","R","46","CE102","Environmental Studies",3,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","11"
"34",2016,2,1,2,9,"1","R","48","CS102","Problem Solving and Computer Programming Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","11"
"35",2016,2,1,2,9,"1","R","49","EA151","EAA: Games and Sports - II",0,12,"OTHER","MDC","1","100","End","30","11"
"36",2016,2,1,2,9,"1","R","50","EC101","Basic Electronics Engineering",3,6,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","11"
"37",2016,2,1,2,9,"1","R","51","HS101","English for Communication",4,12,"THEORY","HSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","11"
"38",2016,2,1,2,9,"1","R","53","PH101","Physics",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","11"
"39",2016,2,1,2,9,"1","R","54","PH102","Physics Lab",2,11,"LAB","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+12","11"
"40",2016,1,1,1,10,"1","R","57","CS101","Problem Solving and Computer Programming",4,4,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","10"
"41",2016,1,1,1,10,"1","R","58","CS102","Problem Solving and Computer Programming Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","10"
"42",2016,1,1,1,10,"1","R","60","EC101","Basic Electronics Engineering",3,6,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","10"
"43",2016,1,1,1,10,"1","R","61","HS101","English for Communication",4,12,"THEORY","HSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","10"
"44",2016,1,1,1,10,"1","R","62","MA101","Mathematics - I",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","10"
"45",2016,1,1,1,10,"1","R","63","PH101","Physics",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","10"
"46",2016,2,1,2,10,"1","R","65","CE101","Engineering Mechanics",4,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","12"
"47",2016,2,1,2,10,"1","R","66","CY101","Chemistry",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","12"
"48",2016,2,1,2,10,"1","R","67","CY102","Chemistry Lab",2,11,"LAB","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","12"
"49",2016,2,1,2,10,"1","R","68","EA151","EAA: Games and Sports - II",0,12,"OTHER","MDC","1","100","End","30","12"
"50",2016,2,1,2,10,"1","R","71","ME101","Basic Mechanical Engineering",3,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","12"
"51",2016,2,1,2,10,"1","R","72","ME102","Engineering Graphics",4,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","12"
"52",2016,2,1,2,10,"1","R","73","ME103","Workshop Practice",2,7,"THEORY","ESC","1","100","End","30","12"
"100",2016,1,2,1,5,"1","R","138","CS235","Data Structures",3,4,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","25"
"101",2016,1,2,1,5,"1","R","139","CS236","Data Structures Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","25"
"102",2016,1,2,1,5,"1","R","141","EC236","Analog Electronics Lab",2,6,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","25"
"103",2016,1,2,1,5,"1","R","142","EE201","Electrical Measurements and Instrumentation",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","25"
"104",2016,1,2,1,5,"1","R","143","EE202","Circuit Theory - I",3,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","25"
"105",2016,1,2,1,5,"1","R","144","EE203","Electric and Magnetic Fields",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","25"
"106",2016,2,2,2,5,"1","R","146","EC290","Digital Electronics",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","33"
"107",2016,2,2,2,5,"1","R","148","EE251","Circuit Theory - II",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","33"
"108",2016,1,2,1,6,"1","R","160","MA213","Complex Variables and Special functions",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","26"
"109",2016,2,2,2,6,"1","R","162","CS236","Data Structures Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","34"
"110",2016,2,2,2,6,"1","R","164","EC252","Electromagnetic Fields and Waves",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","34"
"111",2016,2,2,2,6,"1","R","165","EC253","Digital System Design - II",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","34"
"112",2016,2,2,2,6,"1","R","166","EC254","Probability Theory and Stochastic Processes",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","34"
"113",2016,2,2,2,6,"1","R","167","EC255","Electronic Devices and Circuits - II Lab",3,6,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","34"
"137",2017,1,1,1,10,"2","R","201","CE102","Environmental Science and Engineering",2,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","65"
"138",2017,1,1,1,10,"2","R","202","CS101","Problem Solving and Computer Programming",3,4,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","65"
"139",2017,1,1,1,10,"2","R","204","EA101","EAA: Games and Sports",0,12,"OTHER","MDC","1","100","End","30","65"
"140",2017,1,1,1,10,"2","R","205","EC101","Basic Electronics Engineering",3,6,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","65"
"141",2017,1,1,1,10,"2","R","206","HS101","English for Technical Communication",3,12,"THEORY","HSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","65"
"142",2017,1,1,1,10,"2","R","207","MA101","Mathematics - I",3,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","65"
"143",2017,1,1,1,10,"2","R","209","PH101","Engineering Physics",3,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","65"
"144",2017,1,1,1,10,"2","R","210","PH102","Physics Lab",2,11,"LAB","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+14","65"
"145",2017,1,1,1,9,"2","R","211","BT101","Engineering Biology",2,1,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","66"
"146",2017,1,1,1,9,"2","R","212","CE101","Engineering Mechanics",3,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","66"
"147",2017,1,1,1,9,"2","R","215","EA101","EAA: Games and Sports",0,12,"OTHER","MDC","1","100","End","30","66"
"148",2017,1,1,1,9,"2","R","216","EE101","Basic Electrical Engineering",3,5,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","66"
"149",2017,1,1,1,9,"2","R","217","MA101","Mathematics - I",3,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","66"
"150",2017,1,1,1,9,"2","R","218","ME102","Engineering Graphics",4,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","66"
"163",2017,2,1,2,10,"2","R","248","BT101","Engineering Biology",2,1,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","83"
"164",2017,2,1,2,10,"2","R","249","CE101","Engineering Mechanics",3,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","83"
"165",2017,2,1,2,10,"2","R","250","CY101","Chemistry-Theory",3,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","83"
"166",2017,2,1,2,10,"2","R","252","EA151","EAA:Games and Sports",0,12,"OTHER","MDC","1","100","End","30","83"
"167",2017,2,1,2,10,"2","R","254","MA151","Mathematics - II",3,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","83"
"168",2017,2,1,2,10,"2","R","255","ME102","Engineering Graphics",4,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","83"
"169",2017,2,1,2,10,"2","R","256","ME103","Workshop Practice",2,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+14","83"
"170",2017,2,1,2,9,"2","R","257","CE102","Environmental Science and Engineering",2,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","84"
"171",2017,2,1,2,9,"2","R","259","CS102","Problem Solving and Computer Programming Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+14","84"
"172",2017,2,1,2,9,"2","R","260","EA151","EAA:Games and Sports",0,12,"OTHER","MDC","1","100","End","30","84"
"173",2017,2,1,2,9,"2","R","261","EC101","Basic Electronics Engineering",3,6,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","84"
"174",2017,2,1,2,9,"2","R","262","HS101","English for Technical Communication",3,12,"THEORY","HSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","84"
"175",2017,2,1,2,9,"2","R","265","PH101","Engineering Physics",3,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","84"
"176",2017,2,1,2,9,"2","R","266","PH102","Physics Lab",2,11,"LAB","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+14","84"
"189",2017,1,2,1,5,"1","R","285","CS235","Data Structures",3,4,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","71"
"190",2017,1,2,1,5,"1","R","286","CS236","Data Structures Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","71"
"191",2017,1,2,1,5,"1","R","289","EE201","Electrical Measurements and Instrumentation",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","71"
"192",2017,1,2,1,5,"1","R","290","EE202","Circuit Theory - I",3,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","71"
"193",2017,1,2,1,5,"1","R","291","EE203","Electric and Magnetic Fields",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","71"
"194",2017,1,2,1,5,"1","R","292","MA201","Mathematics - III",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","71"
"206",2017,1,2,1,6,"1","R","309","EC201","Electronic Devices and Circuits - I",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","72"
"207",2017,1,2,1,6,"1","R","311","EC203","Digital System Design - I",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","72"
"208",2017,1,2,1,6,"1","R","312","EC204","Signals and Systems",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","72"
"209",2017,1,2,1,6,"1","R","313","EC205","Electronic Devices and Circuits - I Lab",2,6,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","72"
"210",2017,1,2,1,6,"1","R","314","EC206","Electronic Design Automation Lab",2,6,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","72"
"211",2017,1,2,1,6,"1","R","316","MA213","Complex Variables and Special functions",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","72"
"245",2017,2,2,2,6,"1","R","380","CS235","Data structures",3,4,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","98"
"246",2017,2,2,2,6,"1","R","381","CS236","Data Structures Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","98"
"247",2017,2,2,2,6,"1","R","383","EC252","Electromagnetic Fields and Waves",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","98"
"248",2017,2,2,2,6,"1","R","384","EC253","Digital System Design - II",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","98"
"249",2017,2,2,2,6,"1","R","385","EC254","Probability Theory and Stochastic Processes",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","98"
"250",2017,2,2,2,6,"1","R","386","EC255","Electronic Devices and Circuits - II Lab",3,6,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","98"
"252",2017,2,2,2,5,"1","R","392","EE251","Circuit Theory - II",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","97"
"253",2017,2,2,2,5,"1","R","394","EE253","Power Systems",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","97"
"254",2017,2,2,2,5,"1","R","395","EE254","Electrical Measurements Lab",2,5,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","97"
"255",2017,2,2,2,5,"1","R","396","MA251","Mathematics - IV",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","97"
"273",2017,1,3,1,5,"1","R","424","EE301","Control Systems",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","79"
"274",2017,1,3,1,5,"1","R","425","EE302","Electrical Machines - II",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","79"
"275",2017,1,3,1,5,"1","R","426","EE303","Power Systems - II",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","79"
"276",2017,1,3,1,5,"1","R","428","EE305","Circuits Lab",2,5,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","79"
"277",2017,1,3,1,5,"1","R","429","EE306","Electrical Simulation Lab",2,5,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","79"
"278",2017,1,3,1,5,"1","R","430","EE313","Digital Signal Processing",3,5,"THEORY","DEC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","79"
"279",2017,1,3,1,5,"1","R","431","EE316","Utilization of Electrical Energy",3,5,"THEORY","DEC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","79"
"280",2017,1,3,1,6,"1","R","433","EC302","Communication Theory",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","80"
"281",2017,1,3,1,6,"1","R","434","EC303","Linear IC Applications",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","80"
"282",2017,1,3,1,6,"1","R","436","EC305","Computer Architecture and Organization",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","80"
"283",2017,1,3,1,6,"1","R","437","EC306","Pulse Circuits Lab",2,6,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","80"
"284",2017,1,3,1,6,"1","R","439","SM335","Engineering Economics and Accountancy",3,12,"THEORY","HSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","80"
"321",2017,2,3,2,6,"1","R","520","CS390","Object Oriented Programming",3,4,"THEORY","OPC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","106"
"322",2017,2,3,2,6,"1","R","521","EE390","Linear Control Systems",3,5,"THEORY","OPC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","106"
"323",2017,2,3,2,6,"1","R","522","HS390","Soft Skills",3,12,"THEORY","OPC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","106"
"324",2017,2,3,2,6,"1","R","524","SM390","Marketing Mangement",3,12,"THEORY","OPC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","106"
"325",2017,2,3,2,6,"1","R","527","EC353","Microprocessors and Microcontrollers",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","106"
"326",2017,2,3,2,6,"1","R","528","EC354","Computer Networks",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","106"
"327",2017,2,3,2,6,"1","R","529","EC355","Communication Systems Lab",2,6,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+12","106"
"328",2017,2,3,2,6,"1","R","531","EC361","VLSI Design",3,6,"THEORY","DEC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","106"
"367",2018,1,2,1,5,"2","R","585","EC235","Analog Electronics",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","169"
"368",2018,1,2,1,5,"2","R","588","EE202","Electric and Magnetic Fields",3,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","169"
"369",2018,1,2,1,5,"2","R","589","EE203","Electrical Measurements and Instrumentation",3,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","169"
"370",2018,1,2,1,6,"2","R","593","EC201","Digital System Design - I",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","170"
"371",2018,1,2,1,6,"2","R","594","EC202","Signals and Systems",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","170"
"392",2017,2,3,2,5,"1","R","510","EE352","Power Electronics",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","105"
"393",2017,2,3,2,5,"1","R","512","EE354","Electrical Machines - III",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","105"
"394",2017,2,3,2,5,"1","R","513","EE355","Control Systems Lab",2,5,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","105"
"395",2017,2,3,2,5,"1","R","514","EE356","Electrical Machines Lab - II",2,5,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","105"
"396",2017,2,3,2,5,"1","R","515","SM335","Engineering Economics and Accountancy",3,12,"THEORY","HSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","105"
"397",2017,2,3,2,5,"1","R","517","HS390","Soft Skills",3,12,"THEORY","OPC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","105"
"398",2017,2,3,2,5,"1","R","518","MA390","Numerical Solution of Differential Equations",3,11,"THEORY","OPC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","105"
"399",2017,2,3,2,5,"1","R","519","SM390","Marketing Mangement",3,12,"THEORY","OPC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","105"
"400",2017,2,3,2,6,"1","R","525","EC351","Digital Communications",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","106"
"401",2018,1,2,1,5,"2","R","583","CS235","Data Structures",3,4,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","169"
"402",2018,1,2,1,5,"2","R","584","CS236","Data Structures Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+14","169"
"403",2018,1,2,1,5,"2","R","586","EC236","Analog Electronics Lab",2,6,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+14","169"
"404",2018,1,2,1,5,"2","R","590","MA201","Mathematics - III",3,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","169"
"405",2018,1,2,1,6,"2","R","592","CS236","Data Structures Lab",2,4,"LAB","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+14","170"
"406",2018,1,2,1,6,"2","R","595","EC203","Electronic Devices and Circuits - I",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","170"
"407",2018,1,2,1,6,"2","R","596","EC204","Electronic Devices and Circuits - I Lab",2,6,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","170"
"408",2018,1,2,1,6,"2","R","598","MA213","Complex Variables and Special functions",3,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+17.5","170"
"431",2018,1,3,1,5,"1","R","654","EE301","Control Systems",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","193"
"432",2018,1,3,1,5,"1","R","655","EE302","Electrical Machines - II",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","193"
"433",2018,1,3,1,5,"1","R","657","EE313","Digital Signal Processing",3,5,"THEORY","DEC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","193"
"434",2018,1,3,1,5,"1","R","658","EE316","Utilization of Electrical Energy",3,5,"THEORY","DEC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","193"
"435",2018,1,3,1,5,"1","R","659","EE304","Electrical Machines Lab - I",2,5,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","193"
"436",2018,1,3,1,5,"1","R","660","EE305","Circuits Lab",2,5,"LAB","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","193"
"437",2018,1,3,1,6,"1","R","662","EC301","Pulse Circuits",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","194"
"438",2018,1,3,1,6,"1","R","663","EC303","Linear IC Applications",4,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","194"
"439",2018,1,3,1,6,"1","R","664","EC302","Communication Theory",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","194"
"440",2018,1,3,1,6,"1","R","666","EC305","Computer Architecture and Organization",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","194"
"468",2018,1,4,1,5,"1","R","721","EE401","Solid State Drives",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","217"
"470",2018,1,4,1,5,"1","R","722","EE402","HVDC and FACTS",4,5,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","217"
"471",2018,1,4,1,5,"1","R","723","EE412","Computer Methods in Power Systems",3,5,"THEORY","DEC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","217"
"472",2018,1,4,1,5,"1","R","724","EE449","Project Work Part - A",2,5,"OTHER","PRC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","217"
"473",2018,1,4,1,6,"1","R","726","EC401","Electronic Instrumentation",3,6,"THEORY","PCC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","218"
